Class Name,Accuracy
"('folding chair',)",60.0
"('football helmet',)",92.0
"('forklift',)",78.0
"('fountain',)",94.0
"('fountain pen',)",80.0
"('four-poster',)",78.0
"('freight car',)",74.0
"('French horn', 'horn')",44.0
"('frying pan', 'frypan', 'skillet')",42.0
"('fur coat',)",82.0
"('garbage truck', 'dustcart')",92.0
"('gasmask', 'respirator', 'gas helmet')",74.0
"('gas pump', 'gasoline pump', 'petrol pump', 'island dispenser')",62.0
"('goblet',)",56.0
"('go-kart',)",98.0
"('golf ball',)",74.0
"('golfcart', 'golf cart')",78.0
"('gondola',)",96.0
"('gong', 'tam-tam')",72.0
"('gown',)",50.0
"('grand piano', 'grand')",68.0
"('greenhouse', 'nursery', 'glasshouse')",80.0
"('grille', 'radiator grille')",52.0
"('grocery store', 'grocery', 'food market', 'market')",44.0
"('guillotine',)",68.0
"('hair slide',)",48.0
"('hair spray',)",46.0
"('half track',)",78.0
"('hammer',)",26.0
"('hamper',)",72.0
"('hand blower', 'blow dryer', 'blow drier', 'hair dryer', 'hair drier')",42.0
"('hand-held computer', 'hand-held microcomputer')",54.0
"('handkerchief', 'hankie', 'hanky', 'hankey')",60.0
"('hard disc', 'hard disk', 'fixed disk')",80.0
"('harmonica', 'mouth organ', 'harp', 'mouth harp')",54.0
"('harp',)",78.0
"('harvester', 'reaper')",68.0
"('hatchet',)",44.0
"('holster',)",74.0
"('home theater', 'home theatre')",56.0
"('honeycomb',)",62.0
"('hook', 'claw')",4.0
"('hoopskirt', 'crinoline')",34.0
"('horizontal bar', 'high bar')",40.0
"('horse cart', 'horse-cart')",74.0
"('hourglass',)",70.0
"('iPod',)",78.0
"('iron', 'smoothing iron')",40.0
"(""jack-o'-lantern"",)",100.0
"('jean', 'blue jean', 'denim')",56.0
"('jeep', 'landrover')",54.0
"('jersey', 'T-shirt', 'tee shirt')",84.0
"('jigsaw puzzle',)",92.0
"('jinrikisha', 'ricksha', 'rickshaw')",78.0
"('joystick',)",70.0
"('kimono',)",96.0
"('knee pad',)",76.0
"('knot',)",24.0
"('lab coat', 'laboratory coat')",70.0
"('ladle',)",8.0
"('lampshade', 'lamp shade')",50.0
"('laptop', 'laptop computer')",60.0
"('lawn mower', 'mower')",86.0
"('lens cap', 'lens cover')",34.0
